会员id,所在地,性别,生日,注册时间,消费时间,会员等级,消费金额,消费获取积分,消费业态,消费店铺
051,广州,女,1985-05-10,2019-01-15,2023-11-25,钻卡会员,8500.00,850,零售,Cartier
052,深圳,男,1990-08-22,2020-03-10,2023-11-24,钻卡会员,12000.00,1200,零售,Rolex
053,上海,女,1988-12-03,2019-11-20,2023-11-23,钻卡会员,15000.00,1500,零售,Van Cleef & Arpels
054,北京,男,1992-07-18,2020-06-05,2023-11-22,钻卡会员,9800.00,980,零售,Bulgari
055,杭州,女,1987-04-25,2019-09-12,2023-11-21,钻卡会员,11200.00,1120,零售,Tiffany & Co
056,成都,男,1989-11-30,2020-02-28,2023-11-20,钻卡会员,7500.00,750,零售,Omega
057,武汉,女,1991-03-14,2020-08-15,2023-11-19,金卡会员,4200.00,420,零售,Coach
058,西安,男,1993-09-08,2021-01-22,2023-11-18,金卡会员,3800.00,380,零售,Michael Kors
059,南京,女,1986-06-12,2019-12-18,2023-11-17,金卡会员,5100.00,510,零售,Kate Spade
060,天津,男,1994-02-27,2021-05-10,2023-11-16,金卡会员,3600.00,360,零售,Tommy Hilfiger
061,青岛,女,1995-10-05,2021-09-03,2023-11-15,橙卡会员,1800.00,180,零售,H&M
062,大连,男,1996-01-20,2022-02-14,2023-11-14,橙卡会员,1200.00,120,零售,MUJI
063,苏州,女,1997-08-15,2022-06-20,2023-11-13,橙卡会员,950.00,95,零售,Uniqlo
064,重庆,男,1998-12-08,2022-10-05,2023-11-12,橙卡会员,1450.00,145,零售,ZARA
065,厦门,女,1999-04-22,2023-01-18,2023-11-11,橙卡会员,800.00,80,零售,Pull & Bear
066,珠海,男,1985-07-30,2019-05-25,2023-11-10,钻卡会员,25000.00,2500,零售,Patek Philippe
067,东莞,女,1986-11-18,2019-08-12,2023-11-09,钻卡会员,18000.00,1800,零售,Chanel
068,佛山,男,1987-03-05,2020-01-08,2023-11-08,钻卡会员,22000.00,2200,零售,Hermès
069,中山,女,1988-09-28,2020-04-15,2023-11-07,钻卡会员,16500.00,1650,零售,Dior
070,江门,男,1989-12-11,2020-07-22,2023-11-06,钻卡会员,14800.00,1480,零售,Prada
071,上海,女,1975-02-14,2018-03-10,2023-11-05,钻卡会员,35000.00,3500,零售,Richard Mille
072,北京,男,1973-06-20,2017-11-25,2023-11-04,钻卡会员,42000.00,4200,零售,Audemars Piguet
073,深圳,女,1976-10-08,2018-07-18,2023-11-03,钻卡会员,38000.00,3800,零售,Vacheron Constantin
074,广州,男,1974-12-25,2018-01-05,2023-11-02,钻卡会员,45000.00,4500,零售,Jaeger-LeCoultre
075,杭州,女,1977-04-15,2018-09-12,2023-11-01,钻卡会员,32000.00,3200,零售,Chopard
076,上海,女,2000-08-12,2023-03-15,2023-10-31,橙卡会员,650.00,65,餐饮,喜茶
077,北京,男,2001-05-28,2023-01-20,2023-10-30,橙卡会员,480.00,48,餐饮,奈雪的茶
078,深圳,女,1999-11-03,2022-12-08,2023-10-29,橙卡会员,720.00,72,餐饮,蜜雪冰城
079,广州,男,2000-07-19,2023-02-25,2023-10-28,橙卡会员,580.00,58,餐饮,茶百道
080,成都,女,2001-03-07,2023-04-10,2023-10-27,橙卡会员,420.00,42,餐饮,书亦烧仙草
081,重庆,男,1999-12-15,2022-11-30,2023-10-26,橙卡会员,850.00,85,餐饮,海底捞
082,武汉,女,2000-09-22,2023-01-12,2023-10-25,橙卡会员,1250.00,125,餐饮,呷哺呷哺
083,西安,男,2001-01-08,2023-03-28,2023-10-24,橙卡会员,980.00,98,餐饮,小龙坎
084,南京,女,1999-06-14,2022-10-18,2023-10-23,橙卡会员,750.00,75,餐饮,大龙燚
085,天津,男,2000-04-30,2023-02-14,2023-10-22,橙卡会员,620.00,62,餐饮,谭鸭血
086,杭州,女,1960-03-18,2015-06-25,2023-10-21,钻卡会员,8500.00,850,零售,老凤祥
087,苏州,男,1962-11-05,2016-02-10,2023-10-20,钻卡会员,12000.00,1200,零售,周大福
088,宁波,女,1958-07-22,2014-12-15,2023-10-19,钻卡会员,15500.00,1550,零售,周生生
089,无锡,男,1965-09-12,2017-05-30,2023-10-18,钻卡会员,9800.00,980,零售,六福珠宝
090,常州,女,1963-01-28,2016-08-20,2023-10-17,钻卡会员,11200.00,1120,零售,潮宏基
091,上海,女,2002-06-08,2023-05-12,2023-10-16,橙卡会员,320.00,32,娱乐,剧本杀
092,北京,男,2003-02-25,2023-07-18,2023-10-15,橙卡会员,450.00,45,娱乐,密室逃脱
093,深圳,女,2001-10-14,2023-04-05,2023-10-14,橙卡会员,280.00,28,娱乐,KTV
094,广州,男,2002-08-30,2023-06-22,2023-10-13,橙卡会员,380.00,38,娱乐,电玩城
095,成都,女,2000-12-17,2023-03-08,2023-10-12,橙卡会员,520.00,52,娱乐,网咖
096,杭州,男,2001-04-03,2023-08-15,2023-10-11,橙卡会员,180.00,18,娱乐,桌游吧
097,武汉,女,2003-07-28,2023-09-10,2023-10-10,橙卡会员,350.00,35,娱乐,轰趴馆
098,西安,男,2002-11-11,2023-05-25,2023-10-09,橙卡会员,420.00,42,娱乐,真人CS
099,南京,女,2001-09-06,2023-02-28,2023-10-08,橙卡会员,680.00,68,娱乐,VR体验馆
100,天津,男,2000-05-19,2023-06-12,2023-10-07,橙卡会员,250.00,25,娱乐,保龄球
