会员id,所在地,性别,生日,注册时间,消费时间,会员等级,消费金额,消费获取积分,消费业态,消费店铺
001,上海,女,1992-03-15,2020-01-10,2023-11-20,金卡会员,2850.00,285,零售,Gucci
002,上海,男,1988-07-22,2019-12-15,2023-11-18,钻卡会员,4200.00,420,零售,Louis Vuitton
003,北京,女,1995-11-08,2021-03-05,2023-11-15,橙卡会员,680.00,68,餐饮,Starbucks
004,上海,男,1985-04-30,2020-07-20,2023-11-22,金卡会员,1950.00,195,零售,Zara
005,深圳,女,1993-09-12,2021-01-15,2023-11-19,橙卡会员,420.00,42,餐饮,KFC
006,上海,女,1990-12-25,2019-08-10,2023-11-21,钻卡会员,3600.00,360,零售,Hermès
007,杭州,男,1987-06-18,2020-06-20,2023-11-17,金卡会员,1200.00,120,娱乐,CGV Cinemas
008,上海,女,1994-02-14,2021-02-28,2023-11-23,橙卡会员,850.00,85,餐饮,Din Tai Fung
009,南京,男,1991-05-05,2020-11-12,2023-11-16,金卡会员,2100.00,210,零售,Apple Store
010,上海,女,1989-08-30,2019-04-15,2023-11-24,钻卡会员,5200.00,520,零售,Chanel
011,苏州,男,1996-10-22,2021-05-08,2023-11-14,橙卡会员,320.00,32,餐饮,McDonald's
012,上海,女,1983-01-16,2020-09-25,2023-11-25,金卡会员,1650.00,165,零售,Uniqlo
013,无锡,男,1992-07-11,2019-11-30,2023-11-13,钻卡会员,2800.00,280,零售,Hugo Boss
014,上海,女,1997-12-07,2021-07-18,2023-11-26,橙卡会员,480.00,48,餐饮,Pizza Hut
015,宁波,男,1986-03-28,2020-03-22,2023-11-12,金卡会员,1450.00,145,零售,Nike
016,上海,女,1994-09-12,2021-08-14,2023-11-27,橙卡会员,750.00,75,娱乐,KTV Party World
017,合肥,男,1988-05-09,2019-10-05,2023-11-11,钻卡会员,3100.00,310,零售,Cartier
018,上海,女,1993-11-20,2020-12-01,2023-11-28,金卡会员,1880.00,188,零售,Coach
019,南昌,男,1990-08-25,2021-04-10,2023-11-10,橙卡会员,920.00,92,娱乐,IMAX Cinema
020,上海,女,1995-06-03,2020-02-14,2023-11-29,钻卡会员,2750.00,275,零售,Prada
021,杭州,男,1984-12-17,2019-06-12,2023-11-09,金卡会员,1680.00,168,零售,Adidas
022,上海,女,1991-04-09,2021-09-03,2023-11-30,橙卡会员,560.00,56,餐饮,Häagen-Dazs
023,苏州,男,1989-01-28,2020-05-18,2023-11-08,钻卡会员,4100.00,410,零售,Rolex
024,上海,女,1996-07-15,2021-11-25,2023-12-01,橙卡会员,385.00,38,餐饮,Godiva
025,南京,男,1987-10-04,2019-09-07,2023-11-07,金卡会员,2200.00,220,零售,Burberry
026,上海,女,1992-02-21,2020-08-30,2023-12-02,金卡会员,1750.00,175,零售,Michael Kors
027,无锡,男,1994-05-18,2021-03-14,2023-11-06,橙卡会员,650.00,65,娱乐,Game Zone
028,上海,女,1988-09-06,2019-12-22,2023-12-03,钻卡会员,3800.00,380,零售,Tiffany & Co.
029,宁波,男,1993-12-11,2020-10-16,2023-11-05,金卡会员,1320.00,132,零售,Tommy Hilfiger
030,上海,女,1990-03-26,2021-01-20,2023-12-04,橙卡会员,720.00,72,餐饮,Baskin-Robbins
031,合肥,男,1985-11-13,2019-07-28,2023-11-04,钻卡会员,2950.00,295,零售,Montblanc
032,上海,女,1995-08-02,2020-04-05,2023-12-05,金卡会员,1580.00,158,零售,Sephora
033,南昌,男,1991-01-29,2021-06-11,2023-11-03,橙卡会员,490.00,49,餐饮,Subway
034,上海,女,1987-06-16,2019-11-14,2023-12-06,钻卡会员,4500.00,450,零售,Bulgari
035,杭州,男,1994-04-23,2020-09-08,2023-11-02,金卡会员,1850.00,185,零售,Calvin Klein
036,上海,女,1989-10-10,2021-02-17,2023-12-07,橙卡会员,610.00,61,娱乐,Bowling Alley
037,苏州,男,1992-07-27,2019-08-25,2023-11-01,钻卡会员,3200.00,320,零售,TAG Heuer
038,上海,女,1996-12-05,2020-12-30,2023-12-08,金卡会员,1420.00,142,零售,Pandora
039,南京,男,1986-09-14,2021-05-22,2023-10-31,橙卡会员,780.00,78,餐饮,Yoshinoya
040,上海,女,1993-03-31,2019-10-19,2023-12-09,钻卡会员,2650.00,265,零售,Dior
041,无锡,男,1988-11-08,2020-01-26,2023-10-30,金卡会员,1690.00,169,零售,Lacoste
042,上海,女,1994-08-17,2021-08-04,2023-12-10,橙卡会员,520.00,52,餐饮,Papa John's
043,宁波,男,1990-05-24,2019-12-11,2023-10-29,钻卡会员,3750.00,375,零售,Omega
044,上海,女,1995-01-12,2020-07-15,2023-12-11,金卡会员,1960.00,196,零售,Kate Spade
045,合肥,男,1987-04-07,2021-04-28,2023-10-28,橙卡会员,840.00,84,娱乐,VR Experience
046,上海,女,1991-12-20,2019-09-16,2023-12-12,钻卡会员,4800.00,480,零售,Van Cleef & Arpels
047,南昌,男,1989-02-03,2020-11-09,2023-10-27,金卡会员,1370.00,137,零售,Polo Ralph Lauren
048,上海,女,1992-06-19,2021-01-13,2023-12-13,橙卡会员,695.00,69,餐饮,Costa Coffee
049,杭州,男,1994-09-26,2019-05-31,2023-10-26,钻卡会员,3350.00,335,零售,Breitling
050,上海,女,1988-12-08,2020-06-17,2023-12-14,金卡会员,2080.00,208,零售,Furla
